rank,tier,gutenberg,title,author,year,downloads_30d,form,source,in_old_bank,old_slug
33,A,1450,Pollyanna,Eleanor H. Porter,1913,3895,novel,curated-pool,True,g1450
34,A,1522,Julius Caesar,William Shakespeare,1598,3731,play,curated-pool,,
35,A,5658,Lord Jim,Joseph Conrad,1900,3607,novel,curated-pool,True,g5658
36,A,78,Tarzan of the Apes,Edgar Rice Burroughs,1912,3571,novel,curated-pool,True,g78
37,A,6157,How Much Land Does a Man Need?,Leo Tolstoy,1886,3512,short story,curated-pool,,
38,A,75170,The Sound and the Fury,William Faulkner,1929,3479,novel,curated-pool,,
39,A,2166,King Solomon's Mines,H. Rider Haggard,1885,3424,novel,curated-pool,True,g2166
40,A,550,Silas Marner,George Eliot,1861,3410,novel,curated-pool,,
41,A,969,The Tenant of Wildfell Hall,Anne Brontë,1848,3377,novel,curated-pool,,
42,A,44747,The Red and the Black,Stendhal,1830,3271,novel,curated-pool,,
43,A,153,Jude the Obscure,Thomas Hardy,1895,3225,novel,curated-pool,,
44,A,61221,A Passage to India,E. M. Forster,1924,3136,novel,curated-pool,,
45,A,242,My Ántonia,Willa Cather,1918,3065,novel,curated-pool,,
46,A,73011,The House at Pooh Corner,A. A. Milne,1928,2940,children's book,curated-pool,,
47,A,143,The Mayor of Casterbridge,Thomas Hardy,1886,2713,novel,curated-pool,,
48,A,507,Adam Bede,George Eliot,1859,2681,novel,curated-pool,,
49,A,1156,Babbitt,Sinclair Lewis,1922,2599,novel,curated-pool,True,g1156
50,A,1074,The Sea-Wolf,Jack London,1904,2597,novel,curated-pool,True,g1074
51,A,1237,Père Goriot,Honoré de Balzac,1835,2421,novel,curated-pool,,
52,A,75756,Steppenwolf,Hermann Hesse,1929,2279,novel,curated-pool,,
53,A,95,The Prisoner of Zenda,Anthony Hope,1894,2255,novel,curated-pool,True,g95
54,A,351,Of Human Bondage,W. Somerset Maugham,1915,2226,novel,curated-pool,,
55,A,78220,The Murder at the Vicarage,Agatha Christie,1930,1947,novel,curated-pool,,
56,A,396,"The Lady, or the Tiger?",Frank R. Stockton,1882,1915,short story,curated-pool,,
57,A,964,The Merry Adventures of Robin Hood,Howard Pyle,1883,1722,novel,curated-pool,True,g964
58,A,66073,Death in Venice,Thomas Mann,1912,1679,novella,curated-pool,,
59,A,61085,In Our Time,Ernest Hemingway,1925,1611,short story collection,curated-pool,,
60,A,2834,The Portrait of a Lady,Henry James,1881,1450,novel,curated-pool,,
61,A,77924,The Secret of the Old Clock,Carolyn Keene,1930,1353,novel,curated-pool,,
62,A,61620,The Mark of Zorro,Johnston McCulley,1919,1210,novel,curated-pool,,
63,A,69730,Death Comes for the Archbishop,Willa Cather,1927,911,novel,curated-pool,,
64,A,69768,The Bridge of San Luis Rey,Thornton Wilder,1927,899,novel,curated-pool,,
65,A,78157,Strong Poison,Dorothy L. Sayers,1930,774,novel,curated-pool,,
66,B,65238,The Secret of Chimneys,Agatha Christie,1925,86601,novel,curated-pool,,
67,B,3268,The Mysteries of Udolpho,Ann Radcliffe,1794,84458,novel,curated-pool,True,g3268
68,B,2465,Carmen,Prosper Mérimée,1845,77289,novella,curated-pool,True,g2465
69,B,564,The Mystery of Edwin Drood,Charles Dickens,1870,61536,novel,curated-pool,True,g564
70,B,601,The Monk,M. G. Lewis,1796,54719,novel,curated-pool,True,g601
71,B,223,The Wisdom of Father Brown,G. K. Chesterton,1914,50651,short story collection,curated-pool,True,g223
72,B,393,The Blue Lagoon,H. De Vere Stacpoole,1908,49758,novel,curated-pool,True,g393
73,B,468,Manon Lescaut,Antoine François Prévost,1731,49485,novel,curated-pool,,
74,B,589,Catriona,Robert Louis Stevenson,1893,48695,novel,curated-pool,True,g589
75,B,10002,The House on the Borderland,William Hope Hodgson,1908,48309,novel,curated-pool,,
76,B,69700,The Case-Book of Sherlock Holmes,Arthur Conan Doyle,1927,48143,short story collection,curated-pool,,
77,B,58866,The Murder on the Links,Agatha Christie,1923,48122,novel,curated-pool,,
78,B,3289,The Valley of Fear,Arthur Conan Doyle,1915,47643,novel,curated-pool,True,g3289
79,B,61168,The Man in the Brown Suit,Agatha Christie,1924,47569,novel,curated-pool,,
80,B,560,Mr. Standfast,John Buchan,1919,47388,novel,curated-pool,True,g560
81,B,8954,Lady Audley's Secret,Mary Elizabeth Braddon,1862,47288,novel,curated-pool,,
82,B,1259,Twenty Years After,Alexandre Dumas,1845,47260,novel,curated-pool,True,g1259
83,B,70114,The Big Four,Agatha Christie,1927,47170,novel,curated-pool,,
84,B,2350,His Last Bow,Arthur Conan Doyle,1917,47063,short story collection,curated-pool,True,g2350
85,B,2360,The Riddle of the Sands,Erskine Childers,1903,46829,novel,curated-pool,True,g2360
86,B,50133,The Dunwich Horror,H. P. Lovecraft,1929,46777,short story,curated-pool,,
87,B,389,The Great God Pan,Arthur Machen,1894,46720,novella,curated-pool,True,g389
88,B,72824,The Mystery of the Blue Train,Agatha Christie,1928,46665,novel,curated-pool,,
89,B,8486,Ghost Stories of an Antiquary,M. R. James,1904,46088,short story collection,curated-pool,,
90,B,1685,The Mystery of the Yellow Room,Gaston Leroux,1907,45788,novel,curated-pool,True,g1685
91,B,57669,The Problem of Cell 13,Jacques Futrelle,1905,45768,short story,curated-pool,,
92,B,1872,The Red House Mystery,A. A. Milne,1922,45473,novel,curated-pool,True,g1872
93,B,173,The Insidious Dr. Fu-Manchu,Sax Rohmer,1913,45339,novel,curated-pool,True,g173
94,B,2160,The Expedition of Humphry Clinker,Tobias Smollett,1771,42801,novel,curated-pool,,
95,B,17460,Lorna Doone,R. D. Blackmore,1869,36829,novel,curated-pool,,
96,B,1523,As You Like It,William Shakespeare,,36175,play,override,,
97,B,9911,First Love,Ivan Turgenev,1860,32730,novella,curated-pool,,
98,B,921,De Profundis,Oscar Wilde,1905,27237,letter,curated-pool,,
99,B,1079,Tristram Shandy,Laurence Sterne,1759,20499,novel,curated-pool,,
100,B,696,The Castle of Otranto,Horace Walpole,1764,20422,novel,curated-pool,True,g696
101,B,2040,Confessions of an English Opium-Eater,Thomas De Quincey,1821,19258,nonfiction,curated-pool,True,g2040
102,B,38703,The Black Moth,Georgette Heyer,1921,17597,novel,curated-pool,,
103,B,62,A Princess of Mars,Edgar Rice Burroughs,1912,11471,novel,curated-pool,True,g62
104,B,1170,Anabasis,Xenophon,1859,11047,nonfiction,curated-pool,,
105,B,64,The Gods of Mars,Edgar Rice Burroughs,1913,7938,novel,curated-pool,True,g64
106,B,786,Hard Times,Charles Dickens,1854,7132,novel,curated-pool,,
107,B,131,The Pilgrim's Progress,John Bunyan,1678,6126,novel,curated-pool,,
108,B,8117,Demons,Fyodor Dostoevsky,1872,5822,novel,curated-pool,,
109,B,6087,The Vampyre,John William Polidori,1819,5666,novella,curated-pool,True,g6087
110,B,47,Anne of Avonlea,L. M. Montgomery,1909,5269,novel,curated-pool,,
111,B,883,Our Mutual Friend,Charles Dickens,1864,4745,novel,curated-pool,,
112,B,503,The Blue Fairy Book,Andrew Lang,1889,4731,fairy tales,curated-pool,True,g503
113,B,2853,Quo Vadis,Henryk Sienkiewicz,1896,4567,novel,curated-pool,True,g2853
114,B,512,Mosses from an Old Manse,Nathaniel Hawthorne,1846,4530,short story collection,curated-pool,True,g512
115,B,1056,Martin Eden,Jack London,1909,4067,novel,curated-pool,,
116,B,1515,The Merchant of Venice,William Shakespeare,,3823,play,override,,
117,B,805,This Side of Paradise,F. Scott Fitzgerald,1920,3638,novel,curated-pool,,
118,B,963,Little Dorrit,Charles Dickens,1857,3516,novel,curated-pool,,
119,B,700,The Old Curiosity Shop,Charles Dickens,1840,3496,novel,curated-pool,,
120,B,9182,Villette,Charlotte Brontë,1853,3459,novel,curated-pool,,
121,B,222,The Moon and Sixpence,W. Somerset Maugham,1919,3211,novel,curated-pool,,
122,B,2197,The Gambler,Fyodor Dostoevsky,1867,3194,novel,curated-pool,,
123,B,32,Herland,Charlotte Perkins Gilman,1915,3135,novel,curated-pool,,
124,B,708,The Princess and the Goblin,George MacDonald,1872,3108,novel,curated-pool,True,g708
125,B,11438,The Willows,Algernon Blackwood,1907,3085,novella,curated-pool,,
126,B,208,Daisy Miller,Henry James,1879,3066,novella,curated-pool,,
127,B,102,Pudd'nhead Wilson,Mark Twain,1894,3060,novel,curated-pool,,
128,B,1210,Kwaidan,Lafcadio Hearn,1904,3007,short story collection,curated-pool,,
129,B,5160,The Mabinogion,Anonymous,,2983,myth,curated-pool,True,g5160
130,B,9830,The Beautiful and Damned,F. Scott Fitzgerald,1922,2934,novel,curated-pool,,
131,B,501,The Story of Doctor Dolittle,Hugh Lofting,1920,2875,novel,curated-pool,True,g501
132,B,54,The Marvelous Land of Oz,L. Frank Baum,1904,2865,novel,curated-pool,,
133,B,18247,The Last Man,Mary Shelley,1826,2809,novel,curated-pool,,
134,B,217,Sons and Lovers,D. H. Lawrence,1913,2769,novel,curated-pool,,
135,B,2759,The Man in the Iron Mask,Alexandre Dumas,1850,2761,novel,curated-pool,True,g2759
136,B,122,The Return of the Native,Thomas Hardy,1878,2621,novel,curated-pool,,
137,B,13707,Twice-Told Tales,Nathaniel Hawthorne,1837,2605,short story collection,curated-pool,,
138,B,624,Looking Backward,Edward Bellamy,1888,2594,novel,curated-pool,,
139,B,144,The Voyage Out,Virginia Woolf,1915,2497,novel,curated-pool,,
140,B,2302,Poor Folk,Fyodor Dostoevsky,1846,2426,novel,curated-pool,,
141,B,689,The Kreutzer Sonata,Leo Tolstoy,1889,2328,novella,curated-pool,,
142,B,220,The Secret Sharer,Joseph Conrad,1910,2322,novella,curated-pool,,
143,B,3155,She,H. Rider Haggard,1887,2317,novel,curated-pool,,
144,B,416,"Winesburg, Ohio",Sherwood Anderson,1919,2316,short story collection,curated-pool,,
145,B,543,Main Street,Sinclair Lewis,1920,2277,novel,curated-pool,True,g543
146,B,1093,The Beast in the Jungle,Henry James,1903,2270,novella,curated-pool,,
147,B,24,O Pioneers!,Willa Cather,1913,2234,novel,curated-pool,,
148,B,1938,Resurrection,Leo Tolstoy,1899,2230,novel,curated-pool,,
149,B,1900,Typee,Herman Melville,1846,2227,novel,curated-pool,True,g1900
150,B,1965,Captain Blood,Rafael Sabatini,1922,2188,novel,curated-pool,,
151,B,37536,The House of the Dead,Fyodor Dostoevsky,1862,2182,novel,curated-pool,,
152,B,479,Little Lord Fauntleroy,Frances Hodgson Burnett,1886,2180,novel,curated-pool,,
153,B,6124,Pamela,Samuel Richardson,1740,2143,novel,curated-pool,,
154,B,1164,The Iron Heel,Jack London,1908,2136,novel,curated-pool,,
155,B,1534,Antony and Cleopatra,William Shakespeare,,2116,play,override,,
156,B,7469,Daniel Deronda,George Eliot,1876,2085,novel,curated-pool,,
157,B,1300,Riders of the Purple Sage,Zane Grey,1912,2019,novel,curated-pool,True,g1300
158,B,4240,Women in Love,D. H. Lawrence,1920,2014,novel,curated-pool,,
159,B,903,The White Company,Arthur Conan Doyle,1891,2013,novel,curated-pool,True,g903
160,B,5231,The Way We Live Now,Anthony Trollope,1875,2005,novel,curated-pool,,
161,B,767,Agnes Grey,Anne Brontë,1847,1999,novel,curated-pool,,
162,B,41085,La Vita Nuova,Dante Alighieri,1295,1982,poem,curated-pool,,
163,B,432,The Ambassadors,Henry James,1903,1914,novel,curated-pool,,
164,B,165,McTeague,Frank Norris,1899,1907,novel,curated-pool,,
165,B,2153,Mary Barton,Elizabeth Gaskell,1848,1831,novel,curated-pool,,
166,B,5998,Waverley,Walter Scott,1814,1799,novel,curated-pool,,
167,B,81,The Return of Tarzan,Edgar Rice Burroughs,1913,1794,novel,curated-pool,,
168,B,28948,The Rainbow,D. H. Lawrence,1915,1794,novel,curated-pool,,
169,B,28961,Heart,Edmondo de Amicis,1886,1750,novel,curated-pool,,
170,B,2667,The Vicar of Wakefield,Oliver Goldsmith,1766,1664,novel,curated-pool,,
171,B,6053,Evelina,Frances Burney,1778,1654,novel,curated-pool,,
172,B,370,Moll Flanders,Daniel Defoe,1722,1613,novel,curated-pool,,
173,B,8118,Redburn,Herman Melville,1849,1591,novel,curated-pool,,
174,B,913,A Hero of Our Time,Mikhail Lermontov,1840,1515,novel,curated-pool,,
175,B,36483,Wilhelm Meister's Apprenticeship,Johann Wolfgang von Goethe,1795,1475,novel,curated-pool,,
176,B,525,Youth,Joseph Conrad,1898,1463,short story,curated-pool,True,g525
177,B,5670,Jacob's Room,Virginia Woolf,1922,1462,novel,curated-pool,,
178,B,20657,Tales from Shakespeare,Charles and Mary Lamb,1807,1452,short story collection,curated-pool,,
179,B,836,The Phoenix and the Carpet,E. Nesbit,1904,1447,novel,curated-pool,,
180,B,64682,The Painted Veil,W. Somerset Maugham,1925,1441,novel,curated-pool,,
181,B,6626,Thérèse Raquin,Émile Zola,1867,1434,novel,curated-pool,,
182,B,3285,The Deerslayer,James Fenimore Cooper,1841,1428,novel,curated-pool,True,g3285
183,B,3409,Barchester Towers,Anthony Trollope,1857,1384,novel,curated-pool,,
184,B,1290,Salammbô,Gustave Flaubert,1862,1369,novel,curated-pool,,
185,B,268,The Octopus,Frank Norris,1901,1341,novel,curated-pool,,
186,B,873,A House of Pomegranates,Oscar Wilde,1891,1337,short story collection,curated-pool,,
187,B,1715,Eugénie Grandet,Honoré de Balzac,1833,1284,novel,curated-pool,,
188,B,2081,The Blithedale Romance,Nathaniel Hawthorne,1852,1279,novel,curated-pool,,
189,B,2276,The Private Memoirs and Confessions of a Justified Sinner,James Hogg,1824,1270,novel,curated-pool,True,g2276
190,B,39858,Trilby,George du Maurier,1894,1263,novel,curated-pool,True,g39858
191,B,126,The Poison Belt,Arthur Conan Doyle,1913,1250,novel,curated-pool,,
192,B,1947,Scaramouche,Rafael Sabatini,1921,1227,novel,curated-pool,True,g1947
193,B,42401,Vathek,William Beckford,1786,1175,novel,curated-pool,,
194,B,1142,Typhoon,Joseph Conrad,1902,1173,novella,curated-pool,True,g1142
195,B,35155,The Betrothed,Alessandro Manzoni,1827,1173,novel,curated-pool,,
196,B,3154,The Surprising Adventures of Baron Munchausen,Rudolf Erich Raspe,1785,1172,novel,curated-pool,True,g3154
197,B,5164,The Beetle,Richard Marsh,1897,1157,novel,curated-pool,True,g5164
198,B,21970,The Scarlet Plague,Jack London,1912,1146,novel,curated-pool,,
199,B,1999,Crome Yellow,Aldous Huxley,1921,1138,novel,curated-pool,,
200,B,2948,Where Angels Fear to Tread,E. M. Forster,1905,1127,novel,curated-pool,,
201,B,2275,The Pioneers,James Fenimore Cooper,1823,1117,novel,curated-pool,,
202,B,176,Roderick Hudson,Henry James,1875,1117,novel,curated-pool,,
203,B,3781,The Jewel of Seven Stars,Bram Stoker,1903,1113,novel,curated-pool,,
204,B,10832,"Carnacki, the Ghost-Finder",William Hope Hodgson,1913,1107,short story collection,curated-pool,,
205,B,11052,The Custom of the Country,Edith Wharton,1913,1099,novel,curated-pool,,
206,B,70128,Max Havelaar,Multatuli,1860,1093,novel,curated-pool,,
207,B,1307,La Peau de chagrin,Honoré de Balzac,1831,1087,novel,curated-pool,,
208,B,780,The War in the Air,H. G. Wells,1908,1074,novel,curated-pool,,
209,B,24020,Romola,George Eliot,1863,1071,novel,curated-pool,,
210,B,1188,The Lair of the White Worm,Bram Stoker,1911,1060,novel,curated-pool,True,g1188
211,B,10935,The Wonderful Adventures of Nils,Selma Lagerlöf,1906,1054,novel,curated-pool,,
212,B,73042,The Well of Loneliness,Radclyffe Hall,1928,1034,novel,curated-pool,,
213,B,211,The Aspern Papers,Henry James,1888,1028,novella,curated-pool,,
214,B,3431,The Gadfly,Ethel Lilian Voynich,1897,1023,novel,curated-pool,,
215,B,804,A Sentimental Journey Through France and Italy,Laurence Sterne,1768,1020,novel,curated-pool,,
216,B,1521,Henry V,William Shakespeare,,1017,play,override,,
217,B,1845,Zuleika Dobson,Max Beerbohm,1911,1009,novel,curated-pool,,
218,B,1018,The Water-Babies,Charles Kingsley,1863,1005,novel,curated-pool,,
219,B,434,The Circular Staircase,Mary Roberts Rinehart,1908,997,novel,curated-pool,True,g434
220,B,467,La Princesse de Clèves,Madame de Lafayette,1678,996,novel,curated-pool,,
221,B,2604,The Longest Journey,E. M. Forster,1907,989,novel,curated-pool,,
222,B,718,Tono-Bungay,H. G. Wells,1909,979,novel,curated-pool,,
223,B,486,Ozma of Oz,L. Frank Baum,1907,966,novel,curated-pool,True,g486
224,B,778,Five Children and It,E. Nesbit,1902,960,novel,curated-pool,,
225,B,16457,Around the Moon,Jules Verne,1870,945,novel,curated-pool,,
226,B,7118,What Maisie Knew,Henry James,1897,944,novel,curated-pool,,
227,B,1749,Cousin Bette,Honoré de Balzac,1846,935,novel,curated-pool,,
228,B,70083,The Tower Treasure,Franklin W. Dixon,1927,868,novel,curated-pool,,
229,B,70875,Arrowsmith,Sinclair Lewis,1925,860,novel,curated-pool,,
230,B,66829,Gentlemen Prefer Blondes,Anita Loos,1925,856,novel,curated-pool,,
231,B,77900,Vile Bodies,Evelyn Waugh,1930,508,novel,curated-pool,,
232,,8492,The King in Yellow,Robert W. Chambers,1895,81466,,catalogue-match,,
233,,59828,The String of Pearls,James Malcolm Rymer,1846,66619,,catalogue-match,,
234,,61262,Poirot Investigates,Agatha Christie,1924,48520,,catalogue-match,,
235,,70175,The Secret of Father Brown,G. K. Chesterton,1926,47742,,catalogue-match,,
236,,75288,The Seven Dials Mystery,Agatha Christie,1929,46553,,catalogue-match,,
237,,537,Tales of Terror and Mystery,Arthur Conan Doyle,,46136,,old-bank,True,g537
238,,30340,The Passionate Friends: A Novel,H. G. Wells,1913,45708,novel,wikidata,,
239,,70008,Unnatural Death (novel),Dorothy L. Sayers,1927,45692,,catalogue-match,,
240,,15384,The Real Adventure,Henry Kitchell Webster,,45503,,old-bank,True,g15384
241,,1686,The Secret of the Night,Gaston Leroux,,44948,,old-bank,True,g1686
242,,3321,Children of the Whirlwind,Leroy Scott,,44677,,old-bank,True,g3321
243,,23172,The Damned Thing,Ambrose Bierce,1893,44414,,catalogue-match,,
244,,2813,The Grand Babylon Hôtel,Arnold Bennett,,44318,,old-bank,True,g2813
245,,6761,"The Adventures of Ferdinand, Count Fathom",Tobias Smollett,1753,43408,novel,wikidata,,
246,,4085,The Adventures of Roderick Random,Tobias Smollett,1748,41938,novel,wikidata,,
247,,42389,The Pirate (novel),Walter Scott,1822,36867,,wikidata,,
248,,224,A Pair of Blue Eyes,Thomas Hardy,1873,36459,novel,wikidata,,
249,,3922,The Red Lily (novel),Anatole France,1894,35345,novel,wikidata,,
250,,19771,Henrietta Temple,Benjamin Disraeli,1837,34159,,catalogue-match,,
251,,6768,The Man Upstairs (short story collection),P. G. Wodehouse,1914,33399,,wikidata,,
252,,9473,The Knights of the Cross,Henryk Sienkiewicz,1900,33186,,catalogue-match,,
253,,3044,Desperate Remedies,Thomas Hardy,1871,33129,novel,wikidata,,
254,,3146,Two on a Tower,Thomas Hardy,1882,32722,novel,wikidata,,
255,,15399,The Interesting Narrative of the Life of Olaudah Equiano,Olaudah Equiano,1789,32350,,wikidata,,
256,,851,A Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,Mary Rowlandson,1682,27935,,catalogue-match,,
257,,500,The Adventures of Pinocchio,Carlo Collodi,1883,21102,,catalogue-match,,
258,,36034,White Nights (short story),Fyodor Dostoyevsky,1848,20859,,catalogue-match,,
259,,1200,Gargantua,François Rabelais,1534,20832,,catalogue-match,,
260,,45631,Twelve Years a Slave,Solomon Northup,1853,20792,,catalogue-match,,
261,,30201,In Praise of Folly,Erasmus,1511,18068,,catalogue-match,,
262,,78084,The Mysterious Mr Quin,Agatha Christie,1930,17846,,catalogue-match,,
263,,4599,The Small House at Allington,Anthony Trollope,1862,17765,novel,wikidata,,
264,,78016,Herman Melville (book),Lewis Mumford,1929,17311,,catalogue-match,,
265,,78120,The Marvellous Land of Snergs,Edward Wyke-Smith,1927,17285,,catalogue-match,,
266,,27432,The Fifth Queen,Ford Madox Ford,1906,17227,,catalogue-match,,
267,,34181,Irene Iddesleigh,Amanda McKittrick Ros,1897,17175,novel,wikidata,,
268,,7895,A Terrible Temptation,Charles Reade,1871,17054,novel,wikidata,,
269,,3526,Five Weeks in a Balloon,Jules Verne,,17036,,old-bank,True,g3526
270,,75643,The Black Abbot (novel),Edgar Wallace,1926,16988,,catalogue-match,,
271,,1680,La Maison du chat-qui-pelote,Honoré de Balzac,1829,16967,novella,wikidata,,
272,,78024,The Woman of Andros,Thornton Wilder,1930,16792,,catalogue-match,,
273,,59931,The Love Story of Aliette Brunton (novel),Gilbert Frankau,1922,16749,,catalogue-match,,
274,,76352,The World Below,S. Fowler Wright,1929,16066,,catalogue-match,,
275,,76257,The Crimson Circle (novel),Edgar Wallace,1922,15841,,catalogue-match,,
276,,75998,Daredevil (novel),Leslie Charteris,1929,15701,,catalogue-match,,
277,,75949,Terror Keep,Edgar Wallace,1927,15608,,catalogue-match,,
278,,76212,Kate Plus Ten (novel),Edgar Wallace,1917,15540,,catalogue-match,,
279,,75808,Four Square Jane,Edgar Wallace,1929,15520,,catalogue-match,,
280,,10007,Carmilla,Sheridan Le Fanu,1872,13093,,catalogue-match,,
281,,110,Tess of the d'Urbervilles,Thomas Hardy,1891,8771,,catalogue-match,,
282,,7256,The Gift of the Magi,O. Henry,1906,8297,,catalogue-match,,
283,,902,The Devoted Friend,Oscar Wilde,1888,7685,short story,wikidata,,
284,,3177,Roughing It,Mark Twain,1872,7638,,wikidata,,
285,,1153,The Chessmen of Mars,Edgar Rice Burroughs,1922,6917,novel,old-bank,True,g1153
286,,146,A Little Princess,Frances Hodgson Burnett,1905,6428,,catalogue-match,,
287,,932,The Fall of the House of Usher,Edgar Allan Poe,1839,6292,,catalogue-match,,
288,,12122,The Monkey's Paw,W. W. Jacobs,1902,6250,,catalogue-match,,
289,,13415,The Lady with the Dog,Anton Chekhov,1899,5925,,catalogue-match,,
290,,553,Out of Time's Abyss,Edgar Rice Burroughs,,5736,,old-bank,True,g553
291,,16199,Memoirs of the Author of A Vindication of the Rights of Woman,William Godwin,1798,5301,,catalogue-match,,
292,,51,Anne of the Island,Lucy Maud Montgomery,1915,5116,,wikidata,,
293,,3178,The Gilded Age: A Tale of Today,Charles Dudley Warner & Mark Twain,1873,5038,novel,wikidata,,
294,,74222,Demian,Hermann Hesse,1919,4419,,catalogue-match,,
295,,1064,The Masque of the Red Death,Edgar Allan Poe,1842,4093,,catalogue-match,,
296,,1081,Dead Souls,Nikolai Gogol,1842,3968,,catalogue-match,,
297,,14522,The Canterville Ghost,Oscar Wilde,1887,3867,,catalogue-match,,
298,,6852,Venus in Furs,Leopold von Sacher-Masoch,1870,3730,,catalogue-match,,
299,,11757,The Velveteen Rabbit,Margery Williams,1922,3714,,catalogue-match,,
300,,40580,A General History of the Pyrates,Charles Johnson,1724,3600,,catalogue-match,,
301,,6688,The Mill on the Floss,George Eliot,1860,3590,,catalogue-match,,
302,,3189,Sketches New and Old,Mark Twain,1875,3575,short story collection,wikidata,,
303,,1254,Cyrano de Bergerac (play),Edmond Rostand,1897,3517,,catalogue-match,,
304,,1091,"On Heroes, Hero-Worship, & the Heroic in History",Thomas Carlyle,1841,3501,,wikidata,,
305,,2232,The Duchess of Malfi,John Webster,1623,3469,play,wikidata,,
306,,11870,The Country of the Blind,H. G. Wells,1904,3460,,catalogue-match,,
307,,544,Anne's House of Dreams,Lucy Maud Montgomery,1917,3359,,catalogue-match,,
308,,2885,The House of the Wolfings,William Morris,1889,3344,novel,wikidata,,
309,,77,The House of the Seven Gables,Nathaniel Hawthorne,1858,3285,,catalogue-match,,
310,,119,A Tramp Abroad,Mark Twain,1880,3217,,catalogue-match,,
311,,12233,Stonewall Jackson and the American Civil War,George Francis Robert Henderson,1898,3200,,catalogue-match,,
312,,79401,Pickman's Model,H. P. Lovecraft,1927,3159,,catalogue-match,,
313,,821,Dombey and Son,Charles Dickens,1848,3118,novel,wikidata,,
314,,27365,Tales of Space and Time,H. G. Wells,1899,3106,,catalogue-match,,
315,,29021,The Ridiculous Wishes,Charles Perrault,1693,3027,,wikidata,,
316,,60333,Selections from the Writings of Kierkegaard,Lee M. Hollander,1923,2949,,wikidata,,
317,,2776,The Four Million,O. Henry,1906,2943,,catalogue-match,,
318,,2044,The Education of Henry Adams,Henry Adams,1918,2926,,catalogue-match,,
319,,72890,The Eternal Moment,E. M. Forster,1928,2903,,catalogue-match,,
320,,2434,New Atlantis,Francis Bacon,1627,2866,novel,wikidata,,
321,,45524,The Open Boat,Stephen Crane,1897,2813,,catalogue-match,,
322,,325,Phantastes,George MacDonald,1858,2700,,catalogue-match,,
323,,10897,The Wendigo (novella),Algernon Blackwood,1910,2658,short story,wikidata,,
324,,79360,The Planet of Peril,Otis Adelbert Kline,1929,2631,,catalogue-match,,
325,,14833,Varney the Vampire,James Malcolm Rymer,1845,2621,novel,wikidata,,
326,,3186,The Mysterious Stranger,Mark Twain,1916,2621,,catalogue-match,,
